Date,y,close_kospi,dubai,close_diff,hybb,keyword
2016-01-01,1174.109985,1918.76,32.54,1.661,4.35,4.4336
2016-01-04,1174.109985,1918.76,32.54,1.661,4.35,63.41747
2016-01-05,1187.359985,1930.53,31.66,1.673,4.29,39.14934
2016-01-06,1188.719971,1925.43,30.76,1.4979999999999998,4.36,44.19813
2016-01-07,1198.73999,1904.33,27.96,1.505,4.47,58.2414
2016-01-08,1195.390015,1917.62,29.11,1.488,4.48,42.36317
2016-01-11,1205.939941,1894.84,28.07,1.557,4.53,64.00084
2016-01-12,1202.719971,1890.86,26.44,1.487,4.59,58.01866
2016-01-13,1208.5,1916.28,26.49,1.4960000000000002,4.69,44.91938
2016-01-14,1210.329956,1900.01,26.04,1.5530000000000002,4.77,57.38226
2016-01-15,1206.439941,1878.87,26.22,1.563,5.05,39.81756
2016-01-18,1212.810059,1878.45,24.65,1.5819999999999999,5.05,36.51887
2016-01-19,1208.839966,1889.64,24.72,1.5870000000000002,5.02,40.8252
2016-01-20,1205.75,1845.45,23.36,1.57,5.34,42.63894
2016-01-21,1207.25,1840.53,22.83,1.587,5.2,35.16122
2016-01-22,1202.069946,1879.43,23.88,1.5979999999999999,4.97,33.83538
2016-01-25,1195.569946,1893.43,26.1,1.5549999999999997,4.95,43.86932
2016-01-26,1197.359985,1871.69,24.84,1.5410000000000001,4.94,30.69579
2016-01-27,1196.780029,1897.87,26.11,1.552,4.91,24.87271
2016-01-28,1206.680054,1906.94,27.08,1.531,4.86,24.01357
2016-01-29,1205.630005,1912.06,28.37,1.472,4.85,27.87441
2016-02-01,1206.109985,1924.82,29.01,1.478,4.9,34.73695
2016-02-02,1200.959961,1906.6,28.08,1.3880000000000001,5.1,23.48324
2016-02-03,1211.5,1890.67,27.52,1.345,5.12,31.32159
2016-02-04,1199.699951,1916.26,29.51,1.323,5.09,30.32456
2016-02-05,1190.849976,1917.79,29.22,1.31,5.13,25.14849
2016-02-08,1204.349976,1917.79,29.22,1.2429999999999999,5.5,4.80483
2016-02-09,1202.670044,1917.79,29.22,1.221,5.59,5.95036
2016-02-10,1197.150024,1917.79,26.2,1.158,5.53,17.61773
2016-02-11,1187.949951,1861.54,26.08,1.1969999999999998,5.82,39.57361
2016-02-12,1197.449951,1835.28,26.86,1.2610000000000001,5.59,46.19219
2016-02-15,1205.0,1862.2,29.22,1.2930000000000001,5.58,29.63512
2016-02-16,1211.25,1888.3,30.66,1.282,5.43,32.9232
2016-02-17,1215.849976,1883.94,28.31,1.296,5.19,58.83538
2016-02-18,1224.050049,1908.84,30.25,1.226,5.14,45.37547
2016-02-19,1227.400024,1916.24,30.07,1.225,5.19,78.23504
2016-02-22,1231.869995,1916.36,29.33,1.222,5.04,48.13322
2016-02-23,1220.949951,1914.22,29.69,1.18,5.04,39.30844
2016-02-24,1229.949951,1912.53,28.57,1.216,5.09,43.33899
2016-02-25,1231.400024,1918.57,29.46,1.181,5.02,50.3288
2016-02-26,1232.349976,1920.16,30.43,1.1920000000000002,4.8,38.72507
2016-02-29,1241.130005,1916.66,29.99,1.1360000000000001,4.74,41.76919
2016-03-01,1236.199951,1916.66,31.65,1.186,4.47,19.10267
2016-03-02,1225.150024,1947.42,31.95,1.173,4.34,37.27195
2016-03-03,1224.5,1958.17,32.04,1.1829999999999998,4.34,54.51845
2016-03-04,1210.030029,1955.63,32.17,1.2159999999999997,4.18,59.6521
2016-03-07,1196.5,1957.87,34.39,1.2369999999999999,4.13,53.90326
2016-03-08,1198.75,1946.12,35.56,1.174,4.25,39.43572
2016-03-09,1208.180054,1952.95,35.03,1.218,4.28,31.8095
2016-03-10,1208.150024,1969.33,36.25,1.266,4.2,38.69325
2016-03-11,1203.949951,1971.41,36.37,1.287,4,45.90581
2016-03-14,1185.900024,1972.27,35.69,1.266,3.96,59.6521
2016-03-15,1185.75,1969.97,34.66,1.2730000000000001,4.02,46.12855
2016-03-16,1191.969971,1974.9,34.8,1.264,4.11,27.68349
2016-03-17,1175.849976,1987.99,36.67,1.2639999999999998,4,76.89859
2016-03-18,1152.75,1992.12,37.42,1.2690000000000001,3.92,63.66143
2016-03-21,1162.300049,1989.76,37.14,1.3010000000000002,3.88,46.46796
2016-03-22,1159.099976,1996.81,37.43,1.33,3.92,54.21086
2016-03-23,1154.800049,1995.12,37.14,1.271,4.02,41.47221
2016-03-24,1166.150024,1985.97,36.04,1.289,4.13,40.13576
2016-03-25,1166.150024,1983.81,36.04,1.289,4.13,30.12303
2016-03-28,1166.150024,1982.54,36.31,1.2570000000000001,4.18,36.81586
2016-03-29,1166.150024,1994.91,36.17,1.2160000000000002,4.31,29.4336
2016-03-30,1156.079956,2002.14,35.45,1.2120000000000002,4.22,47.35893
2016-03-31,1140.22998,1995.85,35.05,1.177,4.28,49.27874
2016-04-01,1140.800049,1973.57,36.22,1.1680000000000001,4.28,42.01315
2016-04-04,1145.819946,1978.97,34.84,1.171,4.27,34.54603
2016-04-05,1148.630005,1962.74,33.83,1.165,4.37,31.82011
2016-04-06,1158.5,1971.32,34.69,1.206,4.29,28.56385
2016-04-07,1153.150024,1973.89,36.48,1.1600000000000001,4.37,25.6364
2016-04-08,1156.150024,1972.05,36.71,1.201,4.3,31.43826
2016-04-11,1149.5,1970.37,37.79,1.2109999999999999,4.26,34.1854
2016-04-12,1140.5,1981.32,38.67,1.252,4.15,30.17607
2016-04-13,1140.050049,1981.32,40.11,1.2389999999999999,4.05,11.57191
2016-04-14,1143.75,2015.93,39.66,1.258,3.99,31.74586
2016-04-15,1151.599976,2014.71,39.37,1.2369999999999999,4.01,24.04539
2016-04-18,1145.099976,2009.1,37.73,1.262,4,24.2151
2016-04-19,1141.599976,2011.36,39.17,1.2759999999999998,3.87,47.27407
2016-04-20,1125.849976,2005.83,39.03,1.3359999999999999,3.74,48.51506
