Date,close,open,high,low,change
2008-06-05,2.119,2.119,2.119,2.119,0.00%
2008-06-06,2.078,2.078,2.078,2.078,-1.93%
2008-06-09,2.289,2.289,2.289,2.289,10.15%
2008-06-10,2.495,2.495,2.495,2.495,9.00%
2008-06-11,2.428,2.428,2.428,2.428,-2.69%
2008-06-12,2.624,2.624,2.624,2.624,8.07%
2008-06-13,2.593,2.593,2.593,2.593,-1.18%
2008-06-16,2.629,2.629,2.629,2.629,1.39%
2008-06-17,2.515,2.515,2.515,2.515,-4.34%
2008-06-18,2.474,2.474,2.474,2.474,-1.63%
2008-06-19,2.53,2.53,2.53,2.53,2.26%
2008-06-20,2.442,2.442,2.442,2.442,-3.48%
2008-06-23,2.509,2.509,2.509,2.509,2.74%
2008-06-24,2.488,2.488,2.488,2.488,-0.84%
2008-06-25,2.411,2.411,2.411,2.411,-3.09%
2008-06-26,2.344,2.344,2.344,2.344,-2.78%
2008-06-27,2.287,2.287,2.287,2.287,-2.43%
2008-06-30,2.333,2.333,2.333,2.333,2.01%
2008-07-01,2.307,2.307,2.307,2.307,-1.11%
2008-07-02,2.342,2.342,2.342,2.342,1.52%
2008-07-03,2.275,2.275,2.275,2.275,-2.86%
2008-07-07,2.249,2.249,2.249,2.249,-1.14%
2008-07-08,2.239,2.239,2.239,2.239,-0.44%
2008-07-09,2.161,2.161,2.161,2.161,-3.48%
2008-07-10,2.156,2.156,2.156,2.156,-0.23%
2008-07-11,2.259,2.259,2.259,2.259,4.78%
2008-07-14,2.202,2.202,2.202,2.202,-2.52%
2008-07-15,2.13,2.13,2.13,2.13,-3.27%
2008-07-16,2.14,2.14,2.14,2.14,0.47%
2008-07-17,2.191,2.191,2.191,2.191,2.38%
2008-07-18,2.238,2.238,2.238,2.238,2.15%
2008-07-21,2.207,2.207,2.207,2.207,-1.39%
2008-07-22,2.294,2.294,2.294,2.294,3.94%
2008-07-23,2.304,2.304,2.304,2.304,0.44%
2008-07-24,2.222,2.222,2.222,2.222,-3.56%
2008-07-25,2.278,2.278,2.278,2.278,2.52%
2008-07-28,2.263,2.263,2.263,2.263,-0.66%
2008-07-29,2.288,2.288,2.288,2.288,1.10%
2008-07-30,2.281,2.281,2.281,2.281,-0.31%
2008-07-31,2.254,2.254,2.254,2.254,-1.18%
2008-08-01,2.244,2.244,2.244,2.244,-0.44%
2008-08-04,2.254,2.254,2.254,2.254,0.45%
2008-08-05,2.249,2.249,2.249,2.249,-0.22%
2008-08-06,2.233,2.233,2.233,2.233,-0.71%
2008-08-07,2.14,2.14,2.14,2.14,-4.16%
2008-08-08,2.161,2.161,2.161,2.161,0.98%
2008-08-11,2.233,2.233,2.233,2.233,3.33%
2008-08-12,2.135,2.135,2.135,2.135,-4.39%
2008-08-13,2.143,2.143,2.143,2.143,0.37%
2008-08-14,2.109,2.109,2.109,2.109,-1.59%
2008-08-15,2.103,2.103,2.103,2.103,-0.28%
2008-08-18,2.103,2.103,2.103,2.103,0.00%
2008-08-19,2.078,2.078,2.078,2.078,-1.19%
2008-08-20,2.026,2.026,2.026,2.026,-2.50%
2008-08-21,2.072,2.072,2.072,2.072,2.27%
2008-08-22,2.129,2.129,2.129,2.129,2.75%
2008-08-25,2.103,2.103,2.103,2.103,-1.22%
2008-08-26,2.134,2.134,2.134,2.134,1.47%
2008-08-27,2.136,2.136,2.136,2.136,0.09%
2008-08-28,2.151,2.151,2.151,2.151,0.70%
2008-08-29,2.151,2.151,2.151,2.151,0.00%
2008-09-02,2.099,2.099,2.099,2.099,-2.42%
2008-09-03,2.073,2.073,2.073,2.073,-1.24%
2008-09-04,2.027,2.027,2.027,2.027,-2.22%
2008-09-05,2.099,2.099,2.099,2.099,3.55%
2008-09-08,2.099,2.099,2.099,2.099,0.00%
2008-09-09,2.032,2.032,2.032,2.032,-3.19%
2008-09-10,2.021,2.021,2.021,2.021,-0.54%
2008-09-11,2.006,2.006,2.006,2.006,-0.74%
2008-09-12,2.0,2.0,2.0,2.0,-0.30%
2008-09-15,1.599,1.599,1.599,1.599,-20.05%
2008-09-16,1.651,1.651,1.651,1.651,3.25%
2008-09-17,1.45,1.45,1.45,1.45,-12.17%
2008-09-18,1.532,1.532,1.532,1.532,5.66%
2008-09-19,2.062,2.062,2.062,2.062,34.60%
2008-09-22,2.031,2.031,2.031,2.031,-1.50%
2008-09-23,1.943,1.943,1.943,1.943,-4.33%
2008-09-24,1.872,1.872,1.872,1.872,-3.65%
2008-09-25,1.975,1.975,1.975,1.975,5.50%
2008-09-26,1.836,1.836,1.836,1.836,-7.04%
2008-09-29,1.464,1.464,1.464,1.464,-20.26%
2008-09-30,1.785,1.785,1.785,1.785,21.93%
2008-10-01,1.642,1.642,1.642,1.642,-8.01%
2008-10-02,1.398,1.398,1.398,1.398,-14.86%
2008-10-03,1.367,1.367,1.367,1.367,-2.22%
2008-10-06,1.255,1.255,1.255,1.255,-8.19%
2008-10-07,1.21,1.21,1.21,1.21,-3.59%
2008-10-08,1.235,1.235,1.235,1.235,2.07%
2008-10-09,1.25,1.25,1.25,1.25,1.21%
2008-10-10,1.027,1.027,1.027,1.027,-17.84%
2008-10-14,1.194,1.194,1.194,1.194,16.26%
2008-10-15,1.073,1.073,1.073,1.073,-10.13%
2008-10-16,1.27,1.27,1.27,1.27,18.36%
2008-10-17,1.295,1.295,1.295,1.295,1.97%
